Speaker_1,Speaker_2
명품은 너무 비싸다고 생각해,ㅇㅈ 싸고 좋은것들도 많은데ㅋㅋ 근데 명품 하나정도는 갖고싶긴해
내일도 비온대,짜증나 ㅡㅡ 요세 장마철이라 꿉꿉하다
식기세척기 사니까 너무 편하다,나는 식기세척기 보다 직접하는게 더 깨끗한거 같아서 잘안써 ㅋㅋ
얼만지 구매내역 보면 알 수 있을듯,보고 알려주면 고맙겠어!
잠을 너무 많이 자버렸어,오늘 해야되는거 있었어?ㅜㅜ
피곤해서 그런거 아닐까? ,너무 피곤하면 건강도 안좋아져ㅠㅠ적당히 쉬면서 해!
축구 한 골에 사람들 혈압이 좌지우지하는거 나는 싫어,그맛에 보는거긴 하지 ㅋㅋㅋ 그래도 내가 응원하는 팀이 이기면 기분 좋잖아
나는 축구보다 야구가 더 좋아,나는 축구가 더좋은거 같아 ㅋㅋ 둘다 잘모르는데 축구는 간단해보여서
왜 야구가 더 좋은데?,둘 다 너무 좋지~근데 야구가 좀 더 스릴있고 재밌달까?
아무런 생각이 안나,머리 복잡해??
아무 생각이 안난다니까,명상해보는게 어때?복잡한 생각을 좀 가라앉힐 수 있을거같은데..
탄산음료 안마실려고,목 아파서 그래? 나도 탄산음료 시원해서 좋긴한데 목아파 ㅜㅜ 부드러운게 좋아
용이 있다고 생각해?,ㅋㅋㅋ 만화같은거 너무 많이본거 아니야? 있으면 멋지겠다 ㅋㅋ
왜 없다고 생각하는데?,그냥 왠지 없을거 같음ㅋㅋ있으면 멋잇겠지만
공포영화 보는데 나 너무 무서워,나도 공포영화 잘 못보는데 재밌어 ㅋㅋ 무서워면 친구랑 같이보자!
넷플릭스 볼 게 없어,맞아 넷플릭스는 뭐볼지 고르는데 시간 다쓰고 막상 볼게 없더라ㅋㅋ
맛있는건 왜이리 살찌는지 모르겠어,ㅇㅈ 맛있게 먹으면 0칼로리라고 하는데 맨날 살찜 ㅋㅋ
운동해야하는데 귀찮아,맞아 운동하는거 귀찮지ㅜㅜ 나도 진짜 겨우겨우 해 
카타르 월드컵 1박에 어떤 곳은 2억이래,헐 2억이면 몇년 일해야 모을까말까일거 같은데 그런곳 이용하는사람 부럽당
나 이 영화 보러가기 싫은데 안보면 안될까?,난 보고싶은데 ㅜㅜ 이번엔 이거보고 다음에 너보고싶은거 보자 ㅋㅋ!
나는 커피를 안좋아해,커피 안좋아하는구나 그럼 다른거 마실래?
커피를 왜 안좋아해?,쓰고 맛없어!!ㅋㅋㅋ다른 차 종류가 더 좋은것 같아
자영업 하면  많이 남는대,장사 아무나 하는거 아니다 ~ ㅋㅋㅋ 하던일이나 계속 열심히하자ㅋㅋ
아메리카노라는 단어가 생긴지 10년밖에 안됐대 우리나라 기준으로,헉 신기하다 옛날부터 있던말인줄 알았어 
아메리카노 먹고싶다,ㅋㅋㅋ나도 끌리긴 하네
나는 인터넷 할 때 즐겨찾기 기능 잘 안써,아 그래? 근데 즐겨찾기 해두면 편하잖아!
핸드폰 할 때 반납식은 싫어 누가 내 정보 뜯어갈까봐,맞아 나도 개인정보문제 신경쓰여 
어떻게 핸드폰을 사는게 가장 저렴할까?,글쎄.. 잘 모르지만 자급제로 사고 요금제를 적용해보는게 어때?
나는 겨울이 빨리 왔으면 좋겠어 ,나도 겨울 오면 좋겠다!ㅎㅎ
해가 빨리 지는게 좋아,너무 더우니까 추운날이 그리워지긴하네~
더우면 사람이 게을러진다는데 나는 동의하지 않아,그래? 하긴 요즘 더운데도 너 부지런하잖아ㅋㅋ
더위는 사람을 지치게 하긴 해,공감 고마워 ㅋㅋ
알바로 요리했었는데 너무 힘들어,알바 진짜 힘들지ㅜㅜ 요리는 특히나 불앞에서 하느라 더 힘들것 같아 
요리 배운거니까 좋게 생각하자,오 생각해보니까 그렇네!
운동 한 적 꽤 있었는데 그 다음날 힘이 안나,헉 근육 너무 써서 그런가? 그럼 운동 조금씩만 해야겠다!
나 카페 갈때 과일 들어간 거 좋아해,과일 좋아하는구나! 다음에 같이 먹자
과당음료는 몸에 안좋으니까 많이 먹진 말자,오 걱정해주는거야? 고마워!
"과자 종류가 초코, 감자, 옥수수 말고 더 없을까 지겹다",맨날 같은거만 있어서 질리지ㅠ 그래도 난 감자는 맛있어서 좋아ㅎ
나는 명품도 명품인데 이름은 없지만 장인이 만든 가방이 좋아,무슨 느낌인지 알거같아! 질은 좋은데 하나밖에 없는 물건이라서 맞지?!
브랜드 없이 장인이 만든 것도 있구나 ,장인정신이 깃들어있는 가방이라니..멋지다!
장롱이 너무 낡아서 교체해야겠어,새거 사면 기분 좋겠다! 나는 가구 바꾸는거 좋더라
내 방 너무 지저분함,아 진짜? 나도 청소하기 귀찮을때가 많은데 그래도 청소하고나면 기분이 좋아지는것같아
방 정리 너무 귀찮음,맞아 귀찮지만 지저분하다 느낄 때 해결해버리자~
가방 새로 하나 샀는데 너무 커서 싫다,아 뭔지 알아 딱 내 소지품이랑 사이즈 비슷해야 좋은데
다른 가방이 없어,그럼 여러가지 많이 넣을때만 들고 가는게 어때?
나 귀찮을 때 샤워하고 머리 안말리고 그냥 나가,귀찮다고 안말리면 두피에 안좋대!! 말리고 나가보는게 어때?
그럼 이제부터 말리고 나가야겠다,그게 두피 건강에 좋아 ㅋㅋ
비싼 것에 이유가 있다는데 꼭 그렇지도 않다고 생각해,맞어.. 어떤 거는 그냥 비싸기만 한거 같애..
비싼 것에 이유 있는건 어떤게 있을까?,겉옷이나 가전제품??
사우나에서 코 심각하게 고는 사람 있으면 잠이 안와,정말로... 그런 사람 있으면 잠들기가 힘들어 ㅠㅠ
편의점 알바하는데 손님이 2+1짜리 나한테 하나 줬어,오!! 아직 세상이 좋은 세상인가 보다 ㅋㅋ
보고서 깐깐하게 보는 교수님 있으면 까다롭다,그래도 그런 교수님 덕분에 보고서 실력이 늘어나는거니까 좋은게 아닐까?
교수님은 수업 안듣는것보다도 수업계획서 안 본 사람을 더 싫어한대,그래?? 내가 교수님이었음 수업 안듣는게 더 싫을거 같아 ㅠㅠ
편의점 알바 할 때 내가 제일 싫어하는 것은 진상손님이야,진상손님 정말 싫지ㅠㅠ 나도 알바할때 그런 손님 와서 엄청 난처했던 적 있
진상손님이라는 기준은 어떤거야?,글쎄...일하는 사람마다 다르겠지만 진상손님의 기준은 다 다를거 같아
점주 입장에선 현금으로 계산하는것이 나은데 나는 카드가 더 편하다,맞아 나도 계산할때 사장님들 입장 생각해보고 그러는데 그래도 카드가 편하지ㅎㅎ
카드가 편한 이유가 뭔데?,들고 다니기 편하니까~
딸기 아이스크림 먹을려 하는데 뭐 먹을까?,다른 아이스크림 뭐 먹을지 물어보는거야?ㅎㅎ
미국에서는 무인편의점이 없대 온 몸에 복면을 쓰고 털어간대,어우;; 좀 무섭긴 하다 ㅋㅋ
강남에 왔는데 물가가 너무 비싸서 쇼핑을 못하겠어,강남이 비싸긴 하지 ㅋㅋㅋ 돈 많았으면 좋겠다ㅜ
기본적인 먹을거리부터 너무 비싸더라,맞아 ㅠㅠ그래도 맛있는거 많으니까 조금씩 먹어보자!
전주에 이제 비빔밥을 찾으면 촌스럽대,그래도 전주 하면 비빔밥이지 ㅋㅋㅋㅋㅋ
남들 주식 사는데 나도 사야할까?,에이 그냥 너 원하는데로 하는거지 ㅋㅋㅋ 사고 싶으면 사 ㅋㅋ
컴퓨터에 너무 오래 앉아 있었더니 거북목이 와버렸어,간혹가다가 스트레칭 해줘야대 안그럼 힘들어 ㅠㅠ
전등 새 것으로 갈아껴야할거같아 자꾸 깜빡깜빡거리네 ,에구 새로 갈아야겠당 ㅠ
쟤는 뭔 힘이 있길래 일 끝나고 테니스 치러 가는걸까,좋아하면 힘들어도 한다잖아 ㅋㅋㅋ
나이 먹을 수록 몸에 기운이 빠지는게 느껴지는거 같아,맞아.. 간혹가다 기가 허해진다고 해야 하나 너무 힘들어 ㅠ
내 동생 군대 전역했는데 뭐 사줘야할까,글쎄.. 근데 전역하면 밥 사주는게 제일 좋을꺼 같아 ㅋㅋ
내시경했더니 온 몸에 기운이 빠지더라,뭐 때문에 내시경을 했어?? 어디 아파?
전역했을때와 달리 살이 너무 쪄서 군복이 안맞아,어떡하냐 운동해서 살 빼야겠다!! 그래도 보기 좋아! 
군복을 다시 입을 일이 있더라,예비군 가야돼??
고등학생 때 수학을 못하겠더라 너무 어려워서,수학이 어려우면 힘들어하는 사람들이 많더라 ㅠㅠ
지하철에서 쩍벌다리 하고 있는 사람 극혐이야,아 진짜 영역 침범 당하는 기분이라 너무 별로야 ㅠㅠ
지하철에 앉아있으면 힘들어서 잠이 오더라,약간 피로가 한번에 몰리는 느낌이라 더 힘든거 같애 ㅠㅠ
나는 국산초콜릿 별로 안좋아해,그래? 난 초콜릿이면 다 좋은데..
국산 초콜릿이 유난히 맛없는거 같아,그런가?? 외국 초콜릿도 궁금하네!
오늘 저녁에 고기 사줄께,오~ 무슨 좋은 일 있어?
나 내일 쉬잖아~,오~ 그럼 나랑 더 얘기할 수 있는건가??좋다!!
고기 사준다니까,고기 잘 먹을게 !!
1년 정도 열심히 하면 취업 할 수 있을까?,글쎄 그건 얼마나 열심히 하는지에 따라 다를거 같애 ㅠㅠ
여름에 매미소리 때문에 집중이 안돼,집중 안되면 노이즈캔슬링 써보자ㅜㅜ 
우리나라도 열대화가 되어서 바나나를 재배할 수 있대,그게 좋은 뜻일까.. 나쁜뜻일까.. ㅜㅜ
바나나 많이 먹을 수 있어서 좋지,그건 그렇지! 긍정적이네 ㅋㅋ
프랑스에 갔다왔는데 언어가 잘 안되니까 답답하더라,맞어.. 말이 안통하는거만큼 답답한게 또 없다니까 ㅠㅠ
해외여행에서 말 안통할 때 어떻게 할까?,실시간으로 번역해주는 어플을 사용해서 보여주는거 어떨까?
아침에 눈뜨는데 너무 피곤해,아침에는 항상 눈 떠서 일어나도 피곤하더라 ㅠㅠ
요즘 너무 바빠서 늦게 잤더니 피곤해,피로가 쌓이면 건강에 안좋아 오늘은 일찍자는게 어때?
요세 태블릿 사서 그림 그리는데 짱 재밌어,태블릿 샀어? 너무 부럽다 ㅠㅠㅠ 태블릿 어때? 좋아?
축구하다가 다리 다쳤어,많이 다쳤어?? 걷기도 힘들겠다ㅠㅠ
걷기 힘들어서 겨우 집에 왔어,어휴 고생많았네!!! 이제 누워있어
회사 사람들이랑 배드민턴 치는데 재밌었어,아 진짜?? 언제 쳤어?
요리하는데 굴소스가 들어가면 뭐든 맛있어 지더라 ㅋㅋ,아 굴소스는 인정이지 ㅋㅋㅋㅋ
굴소스 넣어서 먹을 요리 추천해줘,볶음밥에 굴소스 약간 넣으면 더 맛있어져!! 자세한건 유튜브 찾아보는게 어때?
불꽃놀이 안간지 오래됬는데 다음주에 있다더라 같이갈래?,불꽃놀이 재밌겠다!! 근데 일정 확인해봐야해!
여름이라 벌레가 너무 많이 꼬여 짜증난다,아 맞어.. 간혹가다 귀에 왱왱거리면 너무 짜증나 ㅠㅠ
술취해서 지갑 잃어버렸더니 귀찮은 일이 많이 생겼어 ,어쩌다가 그 정도로 술에 취한거야 ㅠ
요새 흉통이 오는것 같아,무슨 일 있어?
증상이 흉통인 대표적인 질병에 뭐가 있을까?,많이 아픈거야?ㅠㅠ폐나 심장쪽이 안좋은거 아닐까? 병원가보는게 어때?
다음달에는 널널한데 다음달에 한번 볼래?,그래 좋아!
다음달 언제?,너 편한 날에 보자
나 다음달 주말이면 언제든 괜찮아,오 좋다! 다음달이면 볼 수 있는거네!
여름옷 더살까 말까 고민중,나라면 더 살꺼 같애
반팔 조금 밖에 안샀어,그럼 이번엔 하의류로 구매해보는게 어때?
우리 저번에 간 음식점 이름이 뭐였지?,글쎄 어디 음식점 말하는거야?
그 있잖아 내가 고기 맛있다고 했던데,글쎄 ㅠㅠ내가 다 기억하기가 힘들어서 모르겠다
영어공부 중인데 독학이라 그런지 좀 어려운거같아 ㅜ,나는 그래서 인터넷 강의를 통해서 조금 어려운걸 해소하는거 같애
영어 학원 추천해줄 수 있어?,나도 잘 모르지만 영어회화 학원이라고 검색하면 도움이 될 것 같아
어제 음식 잘못 먹은거같은데 그래서 배아파 ,에구.. 많이 아퍼? 괜찮아?
고기 먹었었나?,고기가 문제였나보구나..병원 가보는게 어때?
땀띠 나서 그런지 모르겠는데 등이 따가워 ㅜㅜ,약같은거 발랐어?? 괜찮아? ㅠㅠ
오늘 시간 있어?? ,글쎄 시간은 될꺼 같은데 왜??
영화 새로나온거 있다던데 재밌다더라,오~ 재밌을거 같아 보이네~
같이볼래?,같이 볼 수 있었으면 좋겠다!
너는 비오는날에 무슨 음식 좋아해?,파전에 막걸리 먹는게 낭만 있고 맛도 있고!!?
비오는날에는 파전에 막걸리가 최고지 ㅋㅋ ,나는 딱히 상관없는거 같애 웬만한 음식은 다 좋아하니까 ㅋㅋㅋㅋ
부모님이 나 담배피는거 몰랐는데 얼마전에 들켜서 혼났어 기분 안좋다ㅜ,무슨 일 있어? 어쩌다 담배를 피게 됐는데 ㅠㅠ
습관처럼 책상에 담배 올려놨어,정말 놀랐겠다ㅠㅠ
주식샀는데 내가 사면 맨날 떨어지는거 같아 짜증나네,기분탓일꺼야 너무 상심하지는 마 ㅋㅋㅋㅋ
양말에 구멍뚫렸는데 하루종일 모르고있었다가 망신당했다 ㅋㅋ,아 그거는 좀 쪽팔릴만 하다 ㅋㅋㅋ
양말 새로 사야겠다,이번엔 구멍 안 뚫리게 조심히 신자!
요즘은 나이 먹었더니 감정이 많이 사라진거같아,그러게... 옛날에 비해 많이 무감각해진 느낌이 없지않아 들긴 한다.
감정을 다시 예전처럼 살리고 싶어,오 꽤나 감성적이네.. 영화를 보거나 음악을 들어보는게 어떄?
드디어 금요일이다 ㅋㅋㅋ 오늘 일 끝나고 한잔할래??,오 좋지 ㅋㅋ 어디 가서 마실꺼야?
주말이 다 지났네 ㅜㅜ 몇시간 뒤면 일하고 있겠지? 언제 주말오냐...,그러게.. 주말이 좋은데 이제 또 기다려야 하네 ㅠㅠㅠㅠ
포켓몬빵 샀는데 피카츄 나와서 기분좋다 ㅋㅋㅋ 너도 한번 먹어봐,오 피카츄 얻은거 축하해 ㅋㅋㅋ 근데 포켓몬 빵 맛있어?
피곤할때 너는 어떻게 해결해?? 나는 그냥 집에 누워있는게 제일 힐링된다ㅋㅋ,나도 그냥 누워서 핸드폰 하고 있으면 어느 정도 해소 되는거 같애 ㅋㅋㅋㅋ
밀린 숙제를 하려니까 되게 피곤하다 ㅋㅋ ,빨리 해버리고 쉬자!!
숙제 빨리 하는 법 있어?,인터넷의 도움을 받는게 어때?
키우던 강아지가 요즘 따라 되게 기운이 없어서 걱정이야 ㅜㅜ,무슨 일 있나... ㅠㅠ
내일 병원 데려가볼려고 어디 아픈건 아니겠지?,아닐거야!! 너무 걱정마 ㅠ
어제 먹은 냉면이 이상한가 아직도 체한거같아,에구... 많이 아퍼??
유튜브에 볼게 너무 없는거 같아,인정인정 올라오는게 다 비슷해 ㅋㅋ
엄마 생신이라 선물을 사드렸는데 마음에 안드시는것 같아,그래도 생각해서 선물사드렸는데 속상하겠네
취업 면접이 너무 압박 면접이었어ㅠㅠ,많이 긴장했겠다.. 이번 기회로 다음엔 덜 떨릴거야!
아이스크림 할인점에 갔는데 원하는 아이스크림이 없었어,거기까지 갔는데 아쉽네ㅠ
세상에 날 받아줄 회사가 있을까?,당연하지~ 넌 할 수 있어
내가 하고싶은 일이 생각보다 잘 안돼,그럴 수 있어ㅠㅠ넌 지금도 잘 하고 있어 걱정마
어제 부장이 나한테 무턱대고 화냈어,왜 화낸대??속상했겠다 이젠 괜찮아?
올리브영에서 새로운 향수 샀어!,오 어떤 향수?? 냄새 좋다!
사람들이 분리수거를 제대로 안하는 것 같아,맞아 분리수거에 대한 바뀐 기준을 사람들이 잘 모르는거 같아
취미에 대한 흥미가 떨어졌어ㅠㅠ,새로운 흥미를 찾아볼까??
요즘 너무 우울해서 과소비하는 것 같아,왜 우울해?? 안좋은일 있어?
새로운 운동화 사고싶다,어떤거 사고싶은데?
카카오프렌즈 갔다가 눈 돌아갈뻔했어,카카오 프렌즈 귀엽지!!ㅋㅋ
어제 간 카페에서 신메뉴를 먹었는데 생각보다 맛없더라,돈아까웠겠다ㅠㅠ
우리집 고양이가 더워서 그런지 밥을 많이 안먹어,고양이도 더위를 많이 타나봐ㅠㅠ 그럴수록 잘 챙겨줘!
자기소개서 쓰는게 너무 어려워ㅠ,어렵지..ㅜ세상에 쉬운게 없네
고양이는 너무 귀엽고 착해,고양이 너무 귀여워!!근데 강아지도 귀여워 ㅋㅋ
나 어제 술마셔서 속이 안좋아,술을 많이 마셔서?? ㅠㅠ약 먹고 누워있어
배달 자주 시켜먹어?,배달 자주 먹는데 음식 배달값이 너무 비싼거같아~
회사에서 밥먹을 친구가 없어,속상하겠다ㅠㅠ그래도 혼자 있는 시간을 즐겨봐!
여름에도 바디로션을 발라야하나?,원래는 발라야한대 ㅋㅋㅋ근데 귀찮으면 어쩔수 없지!
영양제 챙겨먹고 있지?,응 안챙겨먹으면 안될거같아서 먹는중.. 너도 잘 챙겨 먹어!!
회사에서 나만 흡연 안하는데 뭔가 소외감들어,소외감 드는거 너무 싫어!
제주도에서 꼭 가야하는 데 있어?,제주도 너무 좋겠다!!내가 맛집 리스트 보여줄게
따릉이 타고 싶은데 너무 더워,조금 시원해지면 그 때 같이 타러가자!
사람들이 내 노력을 알아주지 못하는것같아,알아주지 않아서 속상하겠다ㅠㅠ더 열심히 노력해보는게 어때?
내일 발푠데 너무 떨려,준비 많이 했잖아 원하는대로 잘 할 수 있을거야
내일 면접인데 너무 긴장돼,너무 긴장하지마! 넌 잘할 수 있어
학생 때 열심히 공부할걸,괜찮아 지금 잘하고 있으니까 걱정하지마!
집에 틴트가 너무 많은데 틴트 또 샀어,사고싶은건 사야지~ 잘 어울린다!
이번달 식비가 너무 많이 나왔어,맛있는거 많이 먹었으니까 괜찮아! 다음달에 조금 조절하면 되지
친구가 나만  즐겨찾기에 등록 안해놨더라?,서운할듯..
어제 오랜만에 친구 만났는데 똑같은 옷 입었더라,ㅋㅋㅋ창피했어? 그래도 트윈룩같고 좋았겠다!
슬리퍼를 많이 신으면 무릎에 안좋으려나?,무릎 아파?? 슬리퍼 때문에 그럴수도 있어ㅠ 많이 아프면 병원 가보자!
신발 샀는데 사이즈가 너무 커,ㅠㅠ오래 기다렸을텐데 교환/환불되는지 물어봐!
우리 피티쌤 휴가감  ,좋겠다 ㅋㅋ운동 쉴 수 있겠네!
길 가는데 어떤 여자가 울고있었어,왜 울고있었을까?
주말엔 맛있는거 먹어도 되겠지?,주말엔 맛있는거 먹고 푹 쉬어야지!
엄청 좋아하던 연예인이 구설수에 올랐어,속상하겠다ㅠㅠ너무 신경쓰지마
요즘 약 먹는데 그거 때문에 살찐것 같아,아니야! 약은 꼭 먹어야되는거니까 얼른낫고 그 때 다이어트하자!
요즘 클래식 음악 듣는데 하루종일 푹 빠져있어ㅋㅋ 너는 클래식 좋아해?,클래식 심신안정에 좋잖아! 나도 가끔 들어~
여자친구랑 내년에 결혼하려고 하는데 너무 이른가? 아직 준비가 덜 된것 같기도해,너의 생각이 중요하지! 
운동삼아 자전거 타려고 새로 장만했는데 벌써 고장났어 ㅋㅋ,헐 아깝다 ㅠㅠ수리점에 문의해봤어?
장염이 걸렸나 물만 마셔도 화장실 달려감 ㅋㅋ,장염 아프겠다.. 약먹고 얼른 쾌차해
티안나게 방구꼈는데 다 눈치챘더라 완전 망신이야,뀔 수도 있지 왜 눈치를 주냐 ㅋㅋㅋ
어제 지나가다 너무 이상형인 사람 만나서 번호땄는데 없는번호래.. ㅋㅋㅋㅋㅋ,인연이 아니었나봐
산에서 구를뻔 했는데 옆에 있던사람이 잡아줘서 겨우 살았어 ㅋㅋ 너도 등산할때 조심해,와 진짜 놀랬겠다 생각만 해도 아찔해!
밖에 비 진짜 많이온다,우산 챙겼어? 비 맞지 않게 조심해ㅠㅠ
새로운 친구를 사귀는게 너무 어려워,맞어.. 처음 보는 사람한테 말거는거 만큼 힘든게 또 없다니까
친한 언니가 날 위해 팔찌를 만들어줬어!,오 진짜 예쁘다!!
우리집 텃밭에 감자를 심었는데 싹텄다,오 이제 좀만 더 기다리면 감자 얻을 수 있는건가? ㅋㅋㅋ
남자친구가 해외여행 가서 내 친구들 선물까지 사왔다,와 진짜? 남자친구가 되게 잘챙겨주네 부럽다
오늘 달이 정말 예쁘네,그러게 오늘따라 되게 밝고 예쁘다.. 뭔가 아련해!! 
오늘 계란후라이 해먹으려는데 노른자가 2개 나왔다,노른자 두개?? 대박이다 ㅋㅋㅋㅋ
오늘 비 안와서 운동하기 좋은 날씨 같아,난 날씨 좋아도 운동은 너무 힘들어!ㅋㅋㅋㅋㅋㅋ
새로 사고싶은 가방이 있는데 너무 비싸,아 진짜?? 얼만데??
새로운 취미가 생겼는데 돈이 너무 많이 들어,어떤 취미야??
남자친구랑 커플티 맞췄는데 별로 안좋아하는거 같아 ,무슨 커플티인데?? 보여줘바 ㅋㅋ
오랜만에 옷 샀는데 너무 맘에 들어 ㅋㅋ,맘에 드는거 사면 기분 좋지ㅋㅋ 무슨 옷이야?? 사진 보여줘~
새로 신발 샀는데 발이 너무 아파,아 진짜? 발좀 주물러줄까?
어제 오랜만에 비싼데 가서 스테이크 먹었다,오 완전 좋았겠다! 어디가서 먹었어?? 
배부른데 디저트 먹고싶어 또 먹을까?,밥먹으면 꼭 디저트 땡기잖아ㅋㅋ 먹자
치킨 시켰는데 무가 안왔어,아 진짜?? 어떻게 무를 안보내줄 수 있냐 ㅠㅠ
어제 세차했는데 오늘 비오네,아.. 그건 진짜 별론데...기분 나쁘겠다ㅠ
오늘 새 바지 입었는데 커피 흘렸어,아... 화상은 안입었어..? ㅠㅠ
영화 보러왔는데 사람이 너무 많아,아 진짜?? 어디가서 봤는데??
친구가 과자를 줬는데 내 입맛엔 별로더라,그래도 널 생각해서 가져다 준걸 보면 좋은 친구인가보네 ㅋㅋ
헤어 미스트 샀는데 향기 짱 좋아,오 진짜?? 무슨 향이야??
젤리 샀는데 너무 질기다,무슨 젤리인데?? 그렇게나 질겨??
뉴진스 신곡 들어봤어? 너무 좋아,오 진짜? 나도 한번 들어봐야겠다 ㅋㅋㅋㅋ
우리 조카 너무 귀여워 너도 볼래?,보고싶어!! 빨리 사진 보여줘라~~
사고싶은 옷이 있는데 너무 비싼거같아,얼마나 하는데?? 그렇게나 비싸???
어제 인생네컷 찍었는데 맘에들어 ㅋㅋ,어떻게 찍었는데?? 보여줘라~
강남에서 잘생긴사람 봤어,아 진짜?? 누구 닮았는데??
노래방에서 노래부르다가 스피커 터졌어,ㅋㅋㅋㅋㅋ 무슨 일이 있었던거야 ㅋㅋㅋ
친구네 어머니 보이스 피싱 당하셨대,아 진짜?? 지금은 괜찮으시대?? ㅠㅠ
저녁을 먹었는데도 배고파,저녁을 적게 먹었어?? 얼마나 먹었길래 그래 ㅋㅋ
입맛이 없어서 저녁을 아이스크림으로 때웠어,무슨 일 있었어?? 왜 입맛이 없어 ㅠㅠㅠ
대회 출전하려고 열심히 했는데 수상 못했어,에구.. 그래도 고생 많이 했어 ㅠㅠㅠ
머리 자르고 싶른데 잘 어울릴까?,웬만 해서는 잘 어울리겠지 ㅋㅋㅋ 한번 잘라봐~
푸바오 알아? 귀엽지 !,글쎄.. 이름만 들어서는 잘 모르겠는데 ㅠㅠ 한번 사진만 보여줘
나 어제 공항에서 연예인봄ㅋㅋ,오 진짜?? 누군데??
어제 남자친구가 파스타 만들어줬어,무슨 파스타 만들어주셨는데?? 너무 부럽다~
탕후루 먹어봤는데 너무 설탕 덩어리야,아 진짜?? 난 한번도 못먹어봤는데 ㅠㅠㅠㅠ 그렇게나 달아?
새로운 모자 샀는데 나랑 안어울려,무슨 모자인데?? 사진 한번만 보여줘~~
머리 20만원 주고 했는데 나랑 안어울리는 것 같아,사진 한번 보여줘바 어떻게 잘랐는데?
친구랑 어제 만났는데 20분이나 늦게왔어,진짜??? 무슨 일 때문에 그렇게나 늦으셨대?
썸남이랑 카톡하는데 맞춤법 엄청 많이 틀려 ㅋㅋ,ㅋㅋㅋㅋ 그럴 수 있지~
나는 음식을 먹을때 무조건 오리지널부터 먹고 봐,나는 무슨 음식인지에 따라 달라지는거 같애 ㅋㅋㅋㅋ
고깃집에 가면 나는 무조건 된장찌개가 있어야 한다고 생각해,맞어.. 고기에는 된장찌개가 최고야 ㅋㅋㅋㅋ
우리 누나가 떡볶이 사오라고 맨날 시켜,아 진짜? 많이 귀찮긴하겠다. 그래도 사가서 같이 먹으면 좋지않을까?
많이 안먹어봐서 몰랐는데 파스타가 맛있더라,무슨 파스타 먹었어??? 토마토? 까르보나라?
백종원이 만든 음식 레시피는 항상 설탕이 들어가서 싫더라,그래도 어느정도 양을 조절하면 괜찮지 않을까?? ㅠㅠ
잠을 새벽 4시에 자는데 어떻게 할까,늦게 자면 생활리듬이 깨져서 건강에 좋지 않을것같아
기분 안좋아서 로또 10만원어치 산 적이 있다,왜? 무슨 일이 있었는데?
해외에서 온 외사촌 만나는것이 많이 귀찮아,그래도 외사촌인데 ㅋㅋㅋ
밤 샌적이 없는데 이번에 밤 처음 새봐서 너무 힘들어,밤을 샜어?! 엄청 피곤하겠다ㅜㅜ
등이 너무 간지러운데 효자손이 없어 자취해서 누가 긁어줄 사람도 없다 ㅋㅋ 우리집 와서 긁어줄래?ㅋ,내가 거길 왜 가 ㅋㅋㅋ간지러워서 어떡하냐ㅋㅋ
코파다가 코피터졌어 ㅋㅋ 나는 혈관이 약한가봐 ㅋㅋ,으악 코 아팠어??
몇일전에 집에 전기 나가서 하루종일 어두컴컴하게 있었어 집에 초라도 사놔야할듯,어우 전기 갑자기 나가면 어두워서 무섭지 않아?? ㅠㅠㅠ
친구들이랑 여행 갔는데 방에서 쥐나와서 완전 난리도 아니였어ㅋㅋ 근데 내가 잡았다,이야... 어떻게 잡았냐 ㅋㅋㅋㅋㅋ 난 무서워서 절대로 못잡을듯
오랜만에 무한도전 봤는데 너무 재밌더라 다시하면 좋겠다 그치?,그러게... 다시 하면 재밌을꺼 같긴하다 ㅋㅋㅋ
로또1등 당첨되면 너는 일 할거야? 나는 그냥 다 때려치고 여행다닐것같아,당첨되면 너무 좋겠다 벌써 기분 좋아ㅋㅋㅋ나도 여행갈거같아!!
너는 오늘의 운세같은거 믿어?ㅋㅋ 재미삼아 보면 재밋긴하더라,믿지는 않지만 뭔가 좋은 말 써져 있으면 괜히 기분은 좋아 ㅋㅋㅋㅋ
대형견 키우는사람들 산책할때 입마게좀 꼭 시켰으면 좋겠어 너무 위험한것같아,맞어.. 나도 괜히 물릴까봐 무섭다니까 ㅠㅠ
작년에 죽은 우리집 고양이 천국에서 잘 지내고 있겠지? ㅜㅜ,좋은데 갔을꺼야 ㅠㅠ
디스코팡팡 타봤어? 얼마전에 갔다가 하루종일 구르고왔어 ㅋㅋ,ㅋㅋㅋㅋㅋㅋ 디스코 팡팡 재밌어??
돼지국밥 먹어봤어? ,응!! 먹어봤는데 맛있더라!!
부산에서는 순대를 쌈장 찍어먹는다던데 ㅋㅋ 너는 뭐찍어먹어?,나는 뭐든지 찍어 먹는거 같애!
부산에 돌려치기 사건 봤어? 너무 무섭더라..,아직 무서워서 못봤어 ㅠㅠㅠㅠ
조금만 돈 더모으면 드디어 차살수 있겠다 ㅋㅋ,오 축하해~~ 근데 무슨 차 살꺼야??
저번달에 빌려준돈 요번주까지 갚을수 있어?,이번 주 무슨 요일까지 말하는거야?
등산갔다가 땅벌때문에 죽는줄 알았어 몇방 쏘인듯 너는 벌에 쏘여봤어?,아직 안 쏘여봤는데.. 많이 아파?? ㅠㅠ
